solute,solvent,logS,DGsolv,Reference (DOI),Comments,can_smiles_solute,can_smiles_solvent,concat_smiles,is_chonps_halogens,index,DGsolv_qm,AE,SE
Br,CCCCCCCC,,-1.11,10.1016/j.cej.2021.129307,['CompSol Binary (entry number=54328)'],Br,CCCCCCCC,Br.CCCCCCCC,True,5,-1.51102541,0.4010254099999999,0.16082137946566802
Br,CCCCCCCCCC,,-1.09,10.1016/j.cej.2021.129307,['CompSol Binary (entry number=37100)'],Br,CCCCCCCCCC,Br.CCCCCCCCCC,True,6,-1.44569741,0.3556974099999999,0.12652064748070802
BrC(Br)Br,O,,-1.97,10.13020/3eks-j059 10.1016/j.cej.2021.129307,Averaged - std : 0.01,BrC(Br)Br,O,BrC(Br)Br.O,True,18,-2.34267058,0.3726705800000001,0.13888336119753647
BrC(Br)C(Br)Br,BrC(Br)C(Br)Br,,-8.92,Compsol pure,solute-solvent same,BrC(Br)C(Br)Br,BrC(Br)C(Br)Br,BrC(Br)C(Br)Br.BrC(Br)C(Br)Br,True,19,-8.43306888,0.4869311199999995,0.2371019156244539
BrCCBr,BrCCBr,,-5.74,Compsol pure,solute-solvent same,BrCCBr,BrCCBr,BrCCBr.BrCCBr,True,34,-5.66628721,0.07371279000000008,0.005433575409584113
C(CBr)Br,ClC(Cl)(Cl)Cl,,-5.33,10.1016/j.cej.2021.129307,['Abraham Paper (A7)'],BrCCBr,ClC(Cl)(Cl)Cl,BrCCBr.ClC(Cl)(Cl)Cl,True,36,-5.20687022,0.12312978000000019,0.015160942722848446
C(CBr)Br,O,,-2.2,10.1016/j.cej.2021.129307,"['FreeSolv (entry number=448)', 'CompSol Binary (entry number=62298)']",BrCCBr,O,BrCCBr.O,True,38,-2.25988812,0.059888119999999656,0.0035865869171343586
C1=CC(=CC=C1Br)Br,CC(O)(C)C,,-6.86,10.1016/j.cej.2021.129307,"['Abraham Paper (A1)', 'Abraham Paper (A12)']",Brc1ccc(Br)cc1,CC(C)(C)O,Brc1ccc(Br)cc1.CC(C)(C)O,True,63,-7.4071042,0.5471041999999997,0.2993230056576397
C1=CC(=CC=C1Br)Br,OCCC(C)C,,-7.01,10.1016/j.cej.2021.129307,"['Abraham Paper (A1)', 'Abraham Paper (A12)']",Brc1ccc(Br)cc1,CC(C)CCO,Brc1ccc(Br)cc1.CC(C)CCO,True,64,-7.42662724,0.4166272400000004,0.17357825711001793
C1=CC(=CC=C1Br)Br,CCCCCC,,-7.25,10.1016/j.cej.2021.129307,['Abraham Paper (A32)'],Brc1ccc(Br)cc1,CCCCCC,Brc1ccc(Br)cc1.CCCCCC,True,68,-7.46604361,0.21604360999999983,0.04667484142183203
C1=CC(=CC=C1Br)Br,CCCCOCCCC,,-7.74,10.1016/j.cej.2021.129307,"['Abraham Paper (A12)', 'Abraham Paper (A9)']",Brc1ccc(Br)cc1,CCCCOCCCC,Brc1ccc(Br)cc1.CCCCOCCCC,True,72,-7.78847409,0.048474090000000025,0.0023497374013281024
C1=CC(=CC=C1Br)Br,CCOCC,,-8.21,10.1016/j.cej.2021.129307,['Abraham Paper (A12)'],Brc1ccc(Br)cc1,CCOCC,Brc1ccc(Br)cc1.CCOCC,True,74,-8.1974812,0.012518800000000496,0.00015672035344001242
C1=CC(=CC=C1Br)Br,CC(C)(C)OC,,-7.73,10.1016/j.cej.2021.129307,['Abraham Paper (A12)'],Brc1ccc(Br)cc1,COC(C)(C)C,Brc1ccc(Br)cc1.COC(C)(C)C,True,75,-8.10332543,0.3733254299999995,0.13937187668468454
Brc1cccc2ccccc12,Brc1cccc2ccccc12,,-9.73,Compsol pure,solute-solvent same,Brc1cccc2ccccc12,Brc1cccc2ccccc12,Brc1cccc2ccccc12.Brc1cccc2ccccc12,True,90,-9.11766149,0.6123385100000007,0.37495845082902096
Brc1ccccc1,CCCCCC,,-5.66,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,Brc1ccccc1,CCCCCC,Brc1ccccc1.CCCCCC,True,98,-5.87062335,0.21062334999999965,0.044362195565222355
Brc1ccccc1,CCCCCCCCCCCCCCCC,,-5.49,10.13020/3eks-j059 10.1016/j.cej.2021.129307,Averaged - std : 0.02,Brc1ccccc1,CCCCCCCCCCCCCCCC,Brc1ccccc1.CCCCCCCCCCCCCCCC,True,101,-5.52908869,0.039088689999999815,0.0015279256859160855
Brc1ccccc1,CCOCC,,-5.99,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,Brc1ccccc1,CCOCC,Brc1ccccc1.CCOCC,True,103,-6.57128265,0.5812826499999995,0.3378895191910219
Brc1ccccc1,ClC(Cl)(Cl)Cl,,-6.23,10.1016/j.cej.2021.129307,"["" 'Abraham Paper (A7)'""]",Brc1ccccc1,ClC(Cl)(Cl)Cl,Brc1ccccc1.ClC(Cl)(Cl)Cl,True,106,-6.25311581,0.023115809999999293,0.0005343406719560673
C1=CC=C(C=C1)Br,C(CO)O,,-4.42,10.1016/j.cej.2021.129307,['CompSol Binary (entry number=5455)'],Brc1ccccc1,OCCO,Brc1ccccc1.OCCO,True,111,-4.854592,0.4345920000000003,0.18887020646400027
C#C,CC(C)(C)CC(C)C,,-0.37,10.1016/j.cej.2021.129307,['Abraham Paper (A31)'],C#C,CC(C)CC(C)(C)C,C#C.CC(C)CC(C)(C)C,True,117,-0.61731461,0.24731461,0.06116451631945209
C#C,CCCCCCCCCCCCCCCC,,-0.2,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,C#C,CCCCCCCCCCCCCCCC,C#C.CCCCCCCCCCCCCCCC,True,119,-0.33496406,0.13496406,0.0182152974916836
C#C,CCCCCCCCO,,-0.51,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,C#C,CCCCCCCCO,C#C.CCCCCCCCO,True,120,-0.8083117,0.29831169999999996,0.08898987035688997
