solute,solvent,logS,DGsolv,Reference (DOI),Comments,can_smiles_solute,can_smiles_solvent,concat_smiles,is_chonps_halogens,index,solvent_iupac_name,m062x,AE,SE
CCCCCCO,CCCCCC,,-5.08,10.13020/3eks-j059 10.1016/j.cej.2021.129307,Averaged - std : 0.06,CCCCCCO,CCCCCC,CCCCCCO.CCCCCC,True,9118,n-Hexane,-5.08,0.0,0.0
c1cnccc1C#N,O,,-6.02,10.1016/j.cej.2021.129307,['FreeSolv (entry number=482)'],N#Cc1ccncc1,O,N#Cc1ccncc1.O,True,17352,Water,-6.02,0.0,0.0
CCCCCCC,CCC(=O)C,,-4.12,10.1016/j.cej.2021.129307,"['Abraham Paper (A12)', 'Abraham Paper (A4)', 'CompSol Binary (entry number=20147)', 'CompSol Binary (entry number=20148)', 'CompSol Binary (entry number=20153)', 'CompSol Binary (entry number=20156)']",CCCCCCC,CCC(C)=O,CCCCCCC.CCC(C)=O,True,7981,Butanone,-4.12,0.0,0.0
Oc1ccccc1,CCCCCCCC,,-5.47,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,Oc1ccccc1,CCCCCCCC,Oc1ccccc1.CCCCCCCC,True,22342,n-Octane,-5.47,0.0,0.0
CCO,BrC(Br)Br,,-3.24,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,CCO,BrC(Br)Br,CCO.BrC(Br)Br,True,10678,Bromoform,-3.24,0.0,0.0
CCCCCCC,CC(O)C,,-3.81,10.1016/j.cej.2021.129307,"['Abraham Paper (A1)', 'Abraham Paper (A12)', 'CompSol Binary (entry number=25181)', 'CompSol Binary (entry number=25187)']",CCCCCCC,CC(C)O,CCCCCCC.CC(C)O,True,7975,2-Propanol,-3.81,0.0,0.0
CC1=CC=CC=C1C,CCCCCO,,-5.18,10.1016/j.cej.2021.129307,"['Abraham Paper (A12)', 'Abraham Paper (A2)']",Cc1ccccc1C,CCCCCO,Cc1ccccc1C.CCCCCO,True,15549,1-Pentanol,-5.18,0.0,0.0
CCCCC,CCCCC=C,,-3.34,10.1016/j.cej.2021.129307,['CompSol Binary (entry number=11079)'],CCCCC,C=CCCCC,CCCCC.C=CCCCC,True,7405,1-Hexene,-3.34,0.0,0.0
CCCN,CCCCCCCO,,-4.8,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,CCCN,CCCCCCCO,CCCN.CCCCCCCO,True,9910,1-Heptanol,-4.8,0.0,0.0
C1CCCC1,CCCCCCCCCC,,-3.46,10.1016/j.cej.2021.129307,['Abraham Paper (A32)'],C1CCCC1,CCCCCCCCCC,C1CCCC1.CCCCCCCCCC,True,667,n-Decane,-3.46,0.0,0.0
