DGsolv,comment,can_smiles_solvent,can_smiles_solute
0,for_solvent_tsne,C/C=C/CCCCCCCCCCCC,O
0,for_solvent_tsne,C#C,O
0,for_solvent_tsne,CCCC(C)CC=O,O
0,for_solvent_tsne,CCSSC,O
0,for_solvent_tsne,C=C(C)/C=C/C,O
0,for_solvent_tsne,CNC,O
0,for_solvent_tsne,CCC(C)CO,O
0,for_solvent_tsne,Cc1ccc(C)c(C)c1,O
0,for_solvent_tsne,CCC1(C)CCCC1,O
0,for_solvent_tsne,O=C1CCCN1,O
0,for_solvent_tsne,CCCCCS,O
0,for_solvent_tsne,OCCCOCCCO,O
0,for_solvent_tsne,CCCOC=O,O
0,for_solvent_tsne,CCc1ccccc1O,O
0,for_solvent_tsne,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,O
0,for_solvent_tsne,OCCC(O)CO,O
0,for_solvent_tsne,CCc1ccccc1C,O
0,for_solvent_tsne,CC(C)CCCC(C)CCO,O
0,for_solvent_tsne,C#CCCl,O
0,for_solvent_tsne,O=C(O)C(F)(F)C(F)(F)C(F)(F)F,O
0,for_solvent_tsne,CCC(O)c1ccccc1,O
0,for_solvent_tsne,C/C=C(\C)c1ccccc1,O
0,for_solvent_tsne,CS,O
0,for_solvent_tsne,CC(=O)OC(C)OC(C)=O,O
0,for_solvent_tsne,C/C=C/CCc1ccccc1C,O
0,for_solvent_tsne,C=Cc1cccc(C=C)c1,O
0,for_solvent_tsne,C=C(C)CCCCCCC,O
0,for_solvent_tsne,C=C(C)CC,O
0,for_solvent_tsne,FCCl,O
0,for_solvent_tsne,CCCc1cccs1,O
0,for_solvent_tsne,CCC(C)OC(C)(C)C,O
0,for_solvent_tsne,C=COC,O
0,for_solvent_tsne,CCCCCc1ccccc1,O
0,for_solvent_tsne,CCCCCCCCCCCC(C)C,O
0,for_solvent_tsne,CCSSC(C)(C)C,O
0,for_solvent_tsne,N#CCCCCC#N,O
0,for_solvent_tsne,C=C(C)C(C)=O,O
0,for_solvent_tsne,CCCCCN(CCCCC)CCCCC,O
0,for_solvent_tsne,C#CC,O
0,for_solvent_tsne,O=C1CCCCC1C1CCCCC1,O
0,for_solvent_tsne,Cc1ccc(N=C=O)cc1N=C=O,O
0,for_solvent_tsne,C=C[C@H]1COC(=O)O1,O
0,for_solvent_tsne,CCCCCCCCC=CCCCCCCCC(=O)OCC(COC(=O)CCCCCCCC=CCCCCCCCC)OC(=O)CCCCCCCC=CCCCCCCCC,O
0,for_solvent_tsne,CCCCCCCCCc1ccccc1,O
0,for_solvent_tsne,Cc1cccc(C)c1,O
0,for_solvent_tsne,CCCCCOC=O,O
0,for_solvent_tsne,N#CCl,O
0,for_solvent_tsne,CCCCCC(C)C=O,O
0,for_solvent_tsne,NCCN1CCNCC1,O
0,for_solvent_tsne,CCCCOCCOCCOC(C)=O,O
0,for_solvent_tsne,CCCCCCCCCC(C)C,O
0,for_solvent_tsne,CCOS(=O)OCC,O
0,for_solvent_tsne,CI,O
0,for_solvent_tsne,CC(C)C1CCCC1,O
0,for_solvent_tsne,FC1(F)C(F)(F)C(F)(F)C1(F)F,O
0,for_solvent_tsne,CC(C)OCCO,O
0,for_solvent_tsne,CC(C)C(=O)OC(=O)C(C)C,O
0,for_solvent_tsne,FC(Cl)Cl,O
0,for_solvent_tsne,CC(C)O,O
0,for_solvent_tsne,CC(=O)OCCC(C)C,O
0,for_solvent_tsne,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,O
0,for_solvent_tsne,CCF,O
0,for_solvent_tsne,CC(C)CCCC(C)C,O
0,for_solvent_tsne,CCCCCCC(C)CC,O
0,for_solvent_tsne,C=C(C)C(=O)OCCOC(=O)CC(C)=O,O
0,for_solvent_tsne,Clc1cccc2ccccc12,O
0,for_solvent_tsne,CCCCCCCCCC(CC)CC,O
0,for_solvent_tsne,O=CC=O,O
0,for_solvent_tsne,CCCOC(C)=O,O
0,for_solvent_tsne,Nc1cccc(Cl)c1,O
0,for_solvent_tsne,FC(F)(Cl)Br,O
0,for_solvent_tsne,C=C(C)C=O,O
0,for_solvent_tsne,CC(C)CN,O
0,for_solvent_tsne,NCCCN1CCN(CCCN)CC1,O
0,for_solvent_tsne,Cc1sc2ccccc2c1C,O
0,for_solvent_tsne,CCCCCCCC/C=C/CCCCCCCC(=O)OCC,O
0,for_solvent_tsne,CCCCCCCCCCC(Br)CBr,O
0,for_solvent_tsne,CCc1ccc(CC)cc1,O
0,for_solvent_tsne,C/C=C(\C)CC,O
0,for_solvent_tsne,CC1CCC(=O)O1,O
0,for_solvent_tsne,CCN(O)CC,O
0,for_solvent_tsne,CCCOCCOCCO,O
0,for_solvent_tsne,CCCCCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCC,O
0,for_solvent_tsne,Cc1ccncc1,O
0,for_solvent_tsne,CCOC(C)OCC,O
0,for_solvent_tsne,COC(=O)OC,O
0,for_solvent_tsne,Fc1c(F)c(F)c(F)c(F)c1F,O
0,for_solvent_tsne,CCCCCCCC/C=C/CCCCCCCC(=O)O,O
0,for_solvent_tsne,CC=O,O
0,for_solvent_tsne,CCC(C)C,O
0,for_solvent_tsne,C/C=C1\CC2C=CC1C2,O
0,for_solvent_tsne,CCCC[NH+](C)C,O
0,for_solvent_tsne,FS(F)(F)(F)(F)F,O
0,for_solvent_tsne,CCNc1ccccc1,O
0,for_solvent_tsne,CCCCCCCCCC(=O)OC,O
0,for_solvent_tsne,C1=C\CC/C=C/CC/C=C/CC/1,O
0,for_solvent_tsne,COC(=O)CCS,O
0,for_solvent_tsne,CCC(C)OC=O,O
0,for_solvent_tsne,O=S(Cl)Cl,O
