solvent,solute,DGsolv_cosmo,index,can_smiles_solvent,can_smiles_solute,Atom_bond_type_overlap_with_exp,DGsolv,AE,Signed_Err,concat_smiles
N1CCCC1,O=C(N)NC(=O)N,-15.56964268,410908,C1CCNC1,NC(=O)NC(N)=O,Y,-15.569802,0.0001593199999998518,-0.0001593199999998518,NC(=O)NC(N)=O.C1CCNC1
CCN(CC)CC,CCC(C)NC(=O)N,-5.92680886,709831,CCN(CC)CC,CCC(C)NC(N)=O,Y,-5.9265447,0.00026416000000040185,0.00026416000000040185,CCC(C)NC(N)=O.CCN(CC)CC
O,NC(N)=Nc(sc1)nc1CSCCC(N)=NS(=O)(=O)N,-30.52604604,826113,O,NC(N)=Nc1nc(CSCCC(N)=NS(N)(=O)=O)cs1,Y,-30.526403000000002,0.000356960000001294,-0.000356960000001294,NC(N)=Nc1nc(CSCCC(N)=NS(N)(=O)=O)cs1.O
OCCCCCC,O=C1NN(CCC2=CC=CC=C2)C(=O)C2=C1C=CC=C2,-18.21903986,954842,CCCCCCO,O=c1[nH]n(CCc2ccccc2)c(=O)c2ccccc12,Y,-18.219639,0.0005991400000020519,-0.0005991400000020519,O=c1[nH]n(CCc2ccccc2)c(=O)c2ccccc12.CCCCCCO
C#N,Clc1ccc(cc1)C(=O)N(C)C,-14.41556646,467491,C#N,CN(C)C(=O)c1ccc(Cl)cc1,Y,-14.416473000000002,0.0009065400000007884,-0.0009065400000007884,CN(C)C(=O)c1ccc(Cl)cc1.C#N
CCN(CC)CC,O=C(c1cocc1)N,-5.57770904,188360,CCN(CC)CC,NC(=O)c1ccoc1,Y,-5.5788445,0.001135459999999533,-0.001135459999999533,NC(=O)c1ccoc1.CCN(CC)CC
ClC(Cl)C(O)=O,c2nc1nn[nH]c1cn2,-19.10820854,133662,O=C(O)C(Cl)Cl,c1ncc2[nH]nnc2n1,Y,-19.109444,0.001235460000000188,-0.001235460000000188,c1ncc2[nH]nnc2n1.O=C(O)C(Cl)Cl
NCCN,FC(Br)C(F)(F)O,-12.86723904,524317,NCCN,OC(F)(F)C(F)Br,Y,-12.868476,0.0012369599999999537,-0.0012369599999999537,OC(F)(F)C(F)Br.NCCN
CCC,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(O)=O,-5.35962331,662599,CCC,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Y,-5.3583503,0.001273010000000241,0.001273010000000241,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.CCC
CCCCNCCCC,FC(F)(O)C(F)(C)C,-9.16121374,10544,CCCCNCCCC,CC(C)(F)C(O)(F)F,Y,-9.162646,0.00143225999999963,-0.00143225999999963,CC(C)(F)C(O)(F)F.CCCCNCCCC
CCN(CC)CC,OC(N)C,-3.20931603,703714,CCN(CC)CC,CC(N)O,Y,-3.2076635,0.0016525300000003185,0.0016525300000003185,CC(N)O.CCN(CC)CC
OCCCl,CC(C)CN(N=O)C(=O)N,-9.56673038,552928,OCCCl,CC(C)CN(N=O)C(N)=O,Y,-9.568501,0.001770620000000278,-0.001770620000000278,CC(C)CN(N=O)C(N)=O.OCCCl
N#Cc1ccccc1,O=N(=O)c1[nH]ccn1,-11.78349299,170799,N#Cc1ccccc1,O=[N+]([O-])c1ncc[nH]1,Y,-11.785306,0.001813010000001114,-0.001813010000001114,O=[N+]([O-])c1ncc[nH]1.N#Cc1ccccc1
