can_smiles_solute,can_smiles_solvent,DGsolv,index,Exp_or_QM,Train/Valid/Test,predicted
O=C(c1ccccc1)C(O)c1ccccc1,O,-11.91,20117,Exp,Train,-11.530016
O=C=O,CCCCCC,-0.48,20622,Exp,Train,-0.44918633
CC1CCC2(C(C)C)CC12,O,1.13,5374,Exp,Train,1.112074
Cc1cnccn1,CCCCCCCC,-4.7,15735,Exp,Train,-4.643051
CCCCCC(C)=O,Cc1ccccc1,-6.3,7668,Exp,Train,-6.2502227
COc1ccc(C(=O)O)cc1,CC(O)COC(C)(C)C,-11.94,13662,Exp,Train,-11.827989
CCC(C)=O,CC(Cl)Cl,-4.91,5965,Exp,Train,-4.855824
CCCCC(C)=O,CCCCCC,-4.68,7246,Exp,Train,-4.663204
NC(=O)c1ccccc1O,CO,-12.72,17638,Exp,Train,-12.652228
O=C1c2ccccc2C(=O)c2c(Cl)cccc21,CCCCCCCO,-13.07,20565,Exp,Train,-13.1016445
c1ccncc1,CCC(C)O,-5.63,23541,Exp,Train,-5.64922
C=CC=O,O,-3.16,1749,Exp,Train,-3.266313
CCCCCOC(C)=O,CCCCCCCCCC,-5.34,9312,Exp,Train,-5.269033
CC(C)(C)Cl,CNC=O,-3.02,3185,Exp,Train,-3.0019758
C1CCCC1,CCCCCCCO,-3.1,671,Exp,Train,-3.0171041
CCNCC,CCOCC,-3.83,10628,Exp,Train,-3.8453915
C=CC#CC,C=CC#CC,-4.04,1427,Exp,Train,-3.9980764
CC(C)CC(C)C,S=C=S,-4.19,3910,Exp,Train,-4.2205853
C=CCCCCC,CCCCOC(C)=O,-4.28,1939,Exp,Train,-4.261434
CCO,ICI,-2.83,10770,Exp,Train,-2.863388
CCCC,CCCCCC,-2.55,7020,Exp,Train,-2.5786664
COP(=O)(OC)OC,CCCCCCC,-5.59,13330,Exp,Train,-5.556214
COc1cc(C=O)c(Cl)c(OC)c1O,O,-7.78,13480,Exp,Train,-7.705642
CN(C)C(=O)Nc1ccc(Cl)cc1,CCCCCCO,-13.16,11995,Exp,Train,-13.11149
CC(C)CCC(C)C,C1CCOC1,-4.85,3977,Exp,Train,-4.8720803
CCCCO,CC(C)CCCC(C)CCCC(C)CCCCC(C)CCCC(C)CCCC(C)C,-3.28,9522,Exp,Train,-3.3111603
ICI,ICI,-7.2,17165,Exp,Train,-7.1756325
c1ccc2cc3ccccc3cc2c1,CC(C)OC(C)C,-10.48,23277,Exp,Train,-10.497755
CCCCCC(=O)O,Cc1ccccc1,-6.97,7604,Exp,Train,-6.953455
FC(Cl)(Cl)Cl,CCCCCCCCC,-2.83,16783,Exp,Train,-2.7941833
CC,CC,-1.29,4868,Exp,Train,-1.2936139
C#CCCCC,CS(C)=O,-3.55,223,Exp,Train,-3.5392413
C1CCCCC1,CC(C)=O,-3.58,714,Exp,Train,-3.6072261
CN(C)C=O,CCOCC,-5.31,12082,Exp,Train,-5.304777
CCCCN,COc1ccccc1,-4.44,9454,Exp,Train,-4.4499927
CC(C)CC(C)C,CC(C)CC(C)(C)C,-4.15,3847,Exp,Train,-4.1344624
CCCCCC,OCCCl,-2.22,7846,Exp,Train,-2.2129657
CCC(C)=O,Cc1cccc(C)c1C,-3.97,6019,Exp,Train,-3.9289293
N,Cc1ccccc1,-2.38,17425,Exp,Train,-1.802813
CC(O)C(F)(F)F,O,-4.16,4776,Exp,Train,-4.124622
C1CCCCC1,O=C(O)C(Cl)Cl,-3.29,819,Exp,Train,-3.2455256
CCCCCCCCC,CCCCCCCCCCCCCCCC,-5.68,8374,Exp,Train,-5.632024
C=CC=C,Cc1cccc(C)c1,-2.48,1729,Exp,Train,-2.4247115
c1ccc2c(c1)Cc1ccccc1-2,CCCCCCCCC=CCCCCCCCC(=O)OCC(COC(=O)CCCCCCCC=CCCCCCCCC)OC(=O)CCCCCCCC=CCCCCCCCC,-9.74,23023,Exp,Train,-9.70348
C,CCCCCCC,0.1,359,Exp,Train,0.084699586
CCC(C)O,CC(C)O,-5.61,6201,Exp,Train,-5.547937
CCCCOC(=O)c1ccc(O)cc1,O,-8.72,9630,Exp,Train,-8.609094
CCCCOC(C)=O,CCCCCCCCC=CCCCCCCCC(=O)OCC(COC(=O)CCCCCCCC=CCCCCCCCC)OC(=O)CCCCCCCC=CCCCCCCCC,-5.07,9660,Exp,Train,-5.0003624
COCC(OC)(OC)OC,O,-5.73,13223,Exp,Train,-5.607321
OCCSCCO,OCCSCCO,-10.6,22009,Exp,Train,-10.44711
CCc1ccccc1,CCOCC,-5.45,11796,Exp,Train,-5.459849
Cc1ccc(O)c(O)c1,CCCCCCCC,-7.02,15033,Exp,Train,-6.9458838
CCC(C)=O,C1CCOC1,-4.54,5949,Exp,Train,-4.515217
S=C=S,S=C=S,-3.975,22492,Exp,Train,-4.011131
c1ccc(-c2ccccc2)cc1,CC(C)CC(C)O,-8.13,22831,Exp,Train,-8.196742
CCCCO,BrC(Br)Br,-4.72,9512,Exp,Train,-4.7941985
CCC,CCCO,-1.32,6405,Exp,Train,-1.2920233
CCCCCC,CC(=O)O,-2.89,7719,Exp,Train,-2.886191
O=c1c2ccccc2sc2ccccc12,CCCCOC(C)=O,-12.44,21674,Exp,Train,-12.53756
O=C(O)c1cccc(C(=O)O)c1,O,-11.27,19691,Exp,Train,-11.213392
c1cc2ccc3cccc4ccc(c1)c2c34,CC(C)CCO,-11.38,22761,Exp,Train,-11.49294
CCCCC(C)=O,NC=O,-4.46,7265,Exp,Train,-4.4255257
FCF,CCCCCCCCC,-0.37,17051,Exp,Train,-0.3961533
ClCCCCl,ClC(Cl)(Cl)Cl,-5.2,16093,Exp,Train,-5.2385664
CCCCCCCC,Fc1c(F)c(F)c(F)c(F)c1F,-4.83,8234,Exp,Train,-4.8664536
C=C,CCO,-0.56,1345,Exp,Train,-0.5519185
CC#N,ClCCCl,-4.41,2258,Exp,Train,-4.42011
c1ccc2c(c1)-c1cccc3cccc-2c13,CCCCCC,-11.48,22964,Exp,Train,-11.54731
c1ccc2ccccc2c1,ClCCCl,-8.02,23370,Exp,Train,-8.093873
COC=O,CCCCCCCCCCCCCCCC,-1.965,13187,Exp,Train,-1.9370434
FC(F)=C(F)C(F)(F)F,CCCCCCCCO,-0.32,16971,Exp,Train,-0.2759195
CCCCC(=O)CCCC,CCCCC(=O)CCCC,-7.17,7143,Exp,Train,-7.1607723
C=C=O,C=C=O,-2.06,1424,Exp,Train,-2.0587597
CCC1CCCCC1,CCCCOC(=O)c1ccccc1C(=O)OCCCC,-4.8,6553,Exp,Train,-4.7493777
CC(=O)OC(C)=O,CC(=O)OC(C)=O,-6.22,2710,Exp,Train,-6.2484217
OO,ClC(Cl)Cl,-4.7,22101,Exp,Train,-4.707686
CCCCC,CCCC#N,-2.48,7425,Exp,Train,-2.4927673
CCCCCC,O=C1CCCCC1,-3.37,7836,Exp,Train,-3.3675466
COc1ccc2cc(C(C)C(=O)O)ccc2c1,CC(C)CCO,-16.37,13865,Exp,Train,-16.18947
C1CCCCC1,CCCCCCCCCCCCCCCCI,-3.66,746,Exp,Train,-3.7005513
CCCCCO,CCCCO,-6.77,9259,Exp,Train,-6.7698307
CCCc1ccccc1,CO,-5.31,10244,Exp,Train,-5.2886925
O=C(O)c1ccccc1,CCO,-9.71,19816,Exp,Train,-9.63046
CC(C)CC(C)C,CCCCCCOC(C)=O,-3.87,3871,Exp,Train,-3.824698
CCC#N,C=CCCCCCCCCCCCCCC,-2.85,5650,Exp,Train,-2.8001127
CC(=O)CC(C)C,CN1CCCC1=O,-5.14,2421,Exp,Train,-5.0969696
O=C(O)c1ccccc1O,CCCCCO,-10.16,19887,Exp,Train,-10.218995
Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,CCCCCCCCC=CCCCCCCCC(=O)OCC(COC(=O)CCCCCCCC=CCCCCCCCC)OC(=O)CCCCCCCC=CCCCCCCCC,-10.26,22134,Exp,Train,-10.222445
COC(C)(C)C,ClC(Cl)(Cl)Cl,-3.94,13018,Exp,Train,-3.8815246
