solute,solvent,logS,DGsolv,Reference (DOI),Comments,can_smiles_solute,can_smiles_solvent,concat_smiles,is_chonps_halogens,index
Br,CCCC,,-1.23,10.1016/j.cej.2021.129307,['CompSol Binary (entry number=34224)'],Br,CCCC,Br.CCCC,True,3
Br,CCCCCC,,-1.19,10.1016/j.cej.2021.129307,['CompSol Binary (entry number=45365)'],Br,CCCCCC,Br.CCCCCC,True,4
Br,CCCCCCCC,,-1.11,10.1016/j.cej.2021.129307,['CompSol Binary (entry number=54328)'],Br,CCCCCCCC,Br.CCCCCCCC,True,5
Br,CCCCCCCCCC,,-1.09,10.1016/j.cej.2021.129307,['CompSol Binary (entry number=37100)'],Br,CCCCCCCCCC,Br.CCCCCCCCCC,True,6
BrB(Br)Br,BrB(Br)Br,,-4.72,Compsol pure,solute-solvent same,BrB(Br)Br,BrB(Br)Br,BrB(Br)Br.BrB(Br)Br,True,9
BrC(Br)Br,BrC(Br)Br,,-6.23,10.13020/3eks-j059 Compsol pure,Averaged - std : 0.02,BrC(Br)Br,BrC(Br)Br,BrC(Br)Br.BrC(Br)Br,True,11
BrC(Br)Br,CCCCC,,-4.83,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,BrC(Br)Br,CCCCC,BrC(Br)Br.CCCCC,True,12
BrC(Br)Br,CCCCCC,,-4.38,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,BrC(Br)Br,CCCCCC,BrC(Br)Br.CCCCCC,True,13
BrC(Br)Br,CCCCCCCCCCC,,-4.84,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,BrC(Br)Br,CCCCCCCCCCC,BrC(Br)Br.CCCCCCCCCCC,True,14
BrC(Br)Br,CCCCCCCCCCCCCCCC,,-5.16,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,BrC(Br)Br,CCCCCCCCCCCCCCCC,BrC(Br)Br.CCCCCCCCCCCCCCCC,True,15
BrC(Br)Br,CCCCCCCCO,,-5.62,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,BrC(Br)Br,CCCCCCCCO,BrC(Br)Br.CCCCCCCCO,True,16
BrC(Br)Br,O,,-1.97,10.13020/3eks-j059 10.1016/j.cej.2021.129307,Averaged - std : 0.01,BrC(Br)Br,O,BrC(Br)Br.O,True,18
BrC(Br)C(Br)Br,BrC(Br)C(Br)Br,,-8.92,Compsol pure,solute-solvent same,BrC(Br)C(Br)Br,BrC(Br)C(Br)Br,BrC(Br)C(Br)Br.BrC(Br)C(Br)Br,True,19
C1CCC(CC1)Br,O,,-0.57,10.1016/j.cej.2021.129307,['CompSol Binary (entry number=65868)'],BrC1CCCCC1,O,BrC1CCCCC1.O,True,24
BrCBr,BrCBr,,-5.14,Compsol pure,solute-solvent same,BrCBr,BrCBr,BrCBr.BrCBr,True,26
BrCBr,CCCCCCCCCCCCCCCC,,-3.905,10.13020/3eks-j059 10.1016/j.cej.2021.129307,Averaged - std : 0.03,BrCBr,CCCCCCCCCCCCCCCC,BrCBr.CCCCCCCCCCCCCCCC,True,27
BrCBr,CCCCCCCCO,,-4.1850000000000005,10.13020/3eks-j059 10.1016/j.cej.2021.129307,Averaged - std : 0.01,BrCBr,CCCCCCCCO,BrCBr.CCCCCCCCO,True,28
BrCBr,O,,-2.06,10.13020/3eks-j059 10.1016/j.cej.2021.129307,Averaged - std : 0.05,BrCBr,O,BrCBr.O,True,30
C(Br)Br,[H]O[H],,-2.03,10.1016/j.cej.2021.129307,['CompSol Binary (entry number=69258)'],BrCBr,[H]O[H],BrCBr.[H]O[H],True,31
BrCCBr,BrCCBr,,-5.74,Compsol pure,solute-solvent same,BrCCBr,BrCCBr,BrCCBr.BrCCBr,True,34
C(CBr)Br,O1CCOCC1,,-5.84,10.1016/j.cej.2021.129307,['Abraham Paper (A33)'],BrCCBr,C1COCCO1,BrCCBr.C1COCCO1,True,35
C(CBr)Br,ClC(Cl)(Cl)Cl,,-5.33,10.1016/j.cej.2021.129307,['Abraham Paper (A7)'],BrCCBr,ClC(Cl)(Cl)Cl,BrCCBr.ClC(Cl)(Cl)Cl,True,36
C(CBr)Br,O,,-2.2,10.1016/j.cej.2021.129307,"['FreeSolv (entry number=448)', 'CompSol Binary (entry number=62298)']",BrCCBr,O,BrCCBr.O,True,38
