solute,solvent,logS,DGsolv,Reference (DOI),Comments,can_smiles_solute,can_smiles_solvent,concat_smiles,is_chonps_halogens,index
C=CCOC(=O)c1ccccc1C(=O)OCC=C,C=CCOC(=O)c1ccccc1C(=O)OCC=C,,-12.0,Compsol pure,solute-solvent same,C=CCOC(=O)c1ccccc1C(=O)OCC=C,C=CCOC(=O)c1ccccc1C(=O)OCC=C,C=CCOC(=O)c1ccccc1C(=O)OCC=C.C=CCOC(=O)c1ccccc1C(=O)OCC=C,True,2077
CC(=O)CC(=O)C1=CC=CC=C1,CCCCCC,,-7.72,10.1016/j.cej.2021.129307,['Abraham Paper (A32)'],CC(=O)CC(=O)c1ccccc1,CCCCCC,CC(=O)CC(=O)c1ccccc1.CCCCCC,True,2393
CC(=O)CC(=O)C1=CC=CC=C1,CCCCCCC,,-7.87,10.1016/j.cej.2021.129307,['Abraham Paper (A32)'],CC(=O)CC(=O)c1ccccc1,CCCCCCC,CC(=O)CC(=O)c1ccccc1.CCCCCCC,True,2394
CC(=O)CC(=O)C1=CC=CC=C1,CCCCCCCC,,-7.76,10.1016/j.cej.2021.129307,['Abraham Paper (A32)'],CC(=O)CC(=O)c1ccccc1,CCCCCCCC,CC(=O)CC(=O)c1ccccc1.CCCCCCCC,True,2395
CC(=O)CC(=O)C1=CC=CC=C1,CCCCCCCCCC,,-7.76,10.1016/j.cej.2021.129307,['Abraham Paper (A32)'],CC(=O)CC(=O)c1ccccc1,CCCCCCCCCC,CC(=O)CC(=O)c1ccccc1.CCCCCCCCCC,True,2396
CC(=O)Cc1ccccc1,O,,-5.62,10.1016/j.cej.2021.129307,['Abraham Paper (A16)'],CC(=O)Cc1ccccc1,O,CC(=O)Cc1ccccc1.O,True,2465
CC(=O)NC1=CC=CC=C1,O1CCOCC1,,-11.75,10.1016/j.cej.2021.129307,['Abraham Paper (A33)'],CC(=O)Nc1ccccc1,C1COCCO1,CC(=O)Nc1ccccc1.C1COCCO1,True,2644
CC(=O)NC1=CC=CC=C1,O,,-9.79,10.1016/j.cej.2021.129307,['Abraham Paper (A8)'],CC(=O)Nc1ccccc1,O,CC(=O)Nc1ccccc1.O,True,2648
CC(=O)Nc1ccccc1O,CCCCCCCCO,,-12.59,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,CC(=O)Nc1ccccc1O,CCCCCCCCO,CC(=O)Nc1ccccc1O.CCCCCCCCO,True,2653
CC(=O)Nc1ccccc1O,O,,-11.61,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,CC(=O)Nc1ccccc1O,O,CC(=O)Nc1ccccc1O.O,True,2655
CC(=O)OCCC1=CC=CC=C1,O,,-5.5,10.1016/j.cej.2021.129307,['Abraham Paper (A16)'],CC(=O)OCCc1ccccc1,O,CC(=O)OCCc1ccccc1.O,True,2830
CC(=O)OCc1ccccc1,CC(=O)OCc1ccccc1,,-8.07,Compsol pure,solute-solvent same,CC(=O)OCc1ccccc1,CC(=O)OCc1ccccc1,CC(=O)OCc1ccccc1.CC(=O)OCc1ccccc1,True,2843
CC(=O)OC1=CC=CC=C1,O,,-4.78,10.1016/j.cej.2021.129307,['CompSol Binary (entry number=65285)'],CC(=O)Oc1ccccc1,O,CC(=O)Oc1ccccc1.O,True,2904
CC(=O)Oc1ccccc1,CC(=O)Oc1ccccc1,,-7.88,Compsol pure,solute-solvent same,CC(=O)Oc1ccccc1,CC(=O)Oc1ccccc1,CC(=O)Oc1ccccc1.CC(=O)Oc1ccccc1,True,2902
CC(=O)OC1=CC=CC=C1C(=O)O,CCCCCCCO,,-13.12,10.1016/j.cej.2021.129307,"['Abraham Paper (A12)', 'Abraham Paper (A2)']",CC(=O)Oc1ccccc1C(=O)O,CCCCCCCO,CC(=O)Oc1ccccc1C(=O)O.CCCCCCCO,True,2923
CC(=O)Oc1ccccc1C(O)=O,O,,-9.94,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,CC(=O)Oc1ccccc1C(=O)O,O,CC(=O)Oc1ccccc1C(=O)O.O,True,2940
CC(=O)OC1=CC=CC=C1C(=O)O,CC(=O)OC,,-13.61,10.1016/j.cej.2021.129307,"['Abraham Paper (A12)', 'Abraham Paper (A3)']",CC(=O)Oc1ccccc1C(=O)O,COC(C)=O,CC(=O)Oc1ccccc1C(=O)O.COC(C)=O,True,2937
CC(=O)OC1=CC=CC=C1C(=O)O,CC(C)(C)OC,,-13.24,10.1016/j.cej.2021.129307,['Abraham Paper (A12)'],CC(=O)Oc1ccccc1C(=O)O,COC(C)(C)C,CC(=O)Oc1ccccc1C(=O)O.COC(C)(C)C,True,2936
CC(=O)OC1=CC=CC=C1C(=O)O,CO,,-14.13,10.1016/j.cej.2021.129307,"['Abraham Paper (A12)', 'Abraham Paper (A2)']",CC(=O)Oc1ccccc1C(=O)O,CO,CC(=O)Oc1ccccc1C(=O)O.CO,True,2935
CC(=O)OC1=CC=CC=C1C(=O)O,CCOCC,,-13.24,10.1016/j.cej.2021.129307,['Abraham Paper (A12)'],CC(=O)Oc1ccccc1C(=O)O,CCOCC,CC(=O)Oc1ccccc1C(=O)O.CCOCC,True,2933
CC(=O)OC1=CC=CC=C1C(=O)O,CC(=O)OCC,,-13.51,10.1016/j.cej.2021.129307,"['Abraham Paper (A12)', 'Abraham Paper (A3)']",CC(=O)Oc1ccccc1C(=O)O,CCOC(C)=O,CC(=O)Oc1ccccc1C(=O)O.CCOC(C)=O,True,2931
CC(=O)OC1=CC=CC=C1C(=O)O,CCO,,-14.04,10.1016/j.cej.2021.129307,"['Abraham Paper (A12)', 'Abraham Paper (A2)']",CC(=O)Oc1ccccc1C(=O)O,CCO,CC(=O)Oc1ccccc1C(=O)O.CCO,True,2930
CC(=O)OC1=CC=CC=C1C(=O)O,CCCO,,-13.62,10.1016/j.cej.2021.129307,"['Abraham Paper (A12)', 'Abraham Paper (A2)']",CC(=O)Oc1ccccc1C(=O)O,CCCO,CC(=O)Oc1ccccc1C(=O)O.CCCO,True,2928
CC(=O)OC1=CC=CC=C1C(=O)O,CC(=O)OCCCC,,-13.07,10.1016/j.cej.2021.129307,"['Abraham Paper (A12)', 'Abraham Paper (A3)']",CC(=O)Oc1ccccc1C(=O)O,CCCCOC(C)=O,CC(=O)Oc1ccccc1C(=O)O.CCCCOC(C)=O,True,2927
CC(=O)OC1=CC=CC=C1C(=O)O,CCCCO,,-13.45,10.1016/j.cej.2021.129307,"['Abraham Paper (A12)', 'Abraham Paper (A2)']",CC(=O)Oc1ccccc1C(=O)O,CCCCO,CC(=O)Oc1ccccc1C(=O)O.CCCCO,True,2926
CC(=O)OC1=CC=CC=C1C(=O)O,CCCCCO,,-13.28,10.1016/j.cej.2021.129307,"['Abraham Paper (A12)', 'Abraham Paper (A2)']",CC(=O)Oc1ccccc1C(=O)O,CCCCCO,CC(=O)Oc1ccccc1C(=O)O.CCCCCO,True,2925
CC(=O)OC1=CC=CC=C1C(=O)O,CCCCCCO,,-13.2,10.1016/j.cej.2021.129307,"['Abraham Paper (A12)', 'Abraham Paper (A2)']",CC(=O)Oc1ccccc1C(=O)O,CCCCCCO,CC(=O)Oc1ccccc1C(=O)O.CCCCCCO,True,2924
CC(=O)Oc1ccccc1C(O)=O,CCCCCCCCO,,-11.56,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,CC(=O)Oc1ccccc1C(=O)O,CCCCCCCCO,CC(=O)Oc1ccccc1C(=O)O.CCCCCCCCO,True,2922
CC(=O)OC1=CC=CC=C1C(=O)O,CCC(=O)C,,-13.7,10.1016/j.cej.2021.129307,['Abraham Paper (A12)'],CC(=O)Oc1ccccc1C(=O)O,CCC(C)=O,CC(=O)Oc1ccccc1C(=O)O.CCC(C)=O,True,2917
CC(=O)OC1=CC=CC=C1C(=O)O,CCCC(O)C,,-13.33,10.1016/j.cej.2021.129307,['Abraham Paper (A12)'],CC(=O)Oc1ccccc1C(=O)O,CCCC(C)O,CC(=O)Oc1ccccc1C(=O)O.CCCC(C)O,True,2920
CC(=O)OC1=CC=CC=C1C(=O)O,O1CCCC1,,-14.31,10.1016/j.cej.2021.129307,['Abraham Paper (A33)'],CC(=O)Oc1ccccc1C(=O)O,C1CCOC1,CC(=O)Oc1ccccc1C(=O)O.C1CCOC1,True,2906
