comment,can_smiles_solvent,can_smiles_solute,logP_exp,solute_name,Acidic/basic?,pKa
logP_setA,CCCCCC,O=Cc1ccco1,-0.42,A1,n,
logP_setA,Cc1ccccc1,O=Cc1ccco1,0.59,A1,n,
logP_setA,Clc1ccccc1,O=Cc1ccco1,0.78,A1,n,
logP_setA,ClCCl,O=Cc1ccco1,1.37,A1,n,
logP_setA,COC(C)(C)C,O=Cc1ccco1,0.56,A1,n,
logP_setA,CC(=O)OC(C)C,O=Cc1ccco1,0.88,A1,n,
logP_setA,OCc1ccccc1,O=Cc1ccco1,0.99,A1,n,
logP_setA,OC1CCCCC1,O=Cc1ccco1,0.51,A1,n,
logP_setA,CCCCO,O=Cc1ccco1,0.53,A1,n,
logP_setA,CCCCCCCCO,O=Cc1ccco1,0.27,A1,n,
logP_setA,CCCCCC,Oc1ccccc1,-0.96,A2,n,
logP_setA,Cc1ccccc1,Oc1ccccc1,0.25,A2,n,
logP_setA,Clc1ccccc1,Oc1ccccc1,0.17,A2,n,
logP_setA,ClCCl,Oc1ccccc1,0.62,A2,n,
logP_setA,COC(C)(C)C,Oc1ccccc1,1.74,A2,n,
logP_setA,CC(=O)OC(C)C,Oc1ccccc1,1.77,A2,n,
logP_setA,OCc1ccccc1,Oc1ccccc1,1.46,A2,n,
logP_setA,OC1CCCCC1,Oc1ccccc1,1.68,A2,n,
logP_setA,CCCCO,Oc1ccccc1,1.44,A2,n,
logP_setA,CCCCCCCCO,Oc1ccccc1,1.5,A2,n,
logP_setA,CCCCCC,CC(C)c1ccccc1O,1.06,A3,n,
logP_setA,Cc1ccccc1,CC(C)c1ccccc1O,2.08,A3,n,
logP_setA,Clc1ccccc1,CC(C)c1ccccc1O,2.02,A3,n,
logP_setA,ClCCl,CC(C)c1ccccc1O,2.26,A3,n,
logP_setA,COC(C)(C)C,CC(C)c1ccccc1O,3.22,A3,n,
logP_setA,CC(=O)OC(C)C,CC(C)c1ccccc1O,3.21,A3,n,
logP_setA,OCc1ccccc1,CC(C)c1ccccc1O,2.64,A3,n,
logP_setA,OC1CCCCC1,CC(C)c1ccccc1O,2.95,A3,n,
logP_setA,CCCCO,CC(C)c1ccccc1O,2.62,A3,n,
logP_setA,CCCCCCCCO,CC(C)c1ccccc1O,2.89,A3,n,
logP_setA,CCCCCC,Cc1cccc(O)c1,-0.34,A4,n,
logP_setA,Cc1ccccc1,Cc1cccc(O)c1,0.8,A4,n,
logP_setA,Clc1ccccc1,Cc1cccc(O)c1,0.74,A4,n,
logP_setA,ClCCl,Cc1cccc(O)c1,1.21,A4,n,
logP_setA,COC(C)(C)C,Cc1cccc(O)c1,2.13,A4,n,
logP_setA,CC(=O)OC(C)C,Cc1cccc(O)c1,2.18,A4,n,
logP_setA,OCc1ccccc1,Cc1cccc(O)c1,1.85,A4,n,
logP_setA,OC1CCCCC1,Cc1cccc(O)c1,2.02,A4,n,
logP_setA,CCCCO,Cc1cccc(O)c1,1.79,A4,n,
logP_setA,CCCCCCCCO,Cc1cccc(O)c1,1.99,A4,n,
logP_setA,CCCCCC,Oc1ccccc1O,-2.85,A5,n,
logP_setA,Cc1ccccc1,Oc1ccccc1O,-1.24,A5,n,
logP_setA,Clc1ccccc1,Oc1ccccc1O,-1.34,A5,n,
logP_setA,ClCCl,Oc1ccccc1O,-0.72,A5,n,
logP_setA,COC(C)(C)C,Oc1ccccc1O,1.11,A5,n,
logP_setA,CC(=O)OC(C)C,Oc1ccccc1O,1.1,A5,n,
logP_setA,OCc1ccccc1,Oc1ccccc1O,0.89,A5,n,
logP_setA,OC1CCCCC1,Oc1ccccc1O,1.16,A5,n,
logP_setA,CCCCO,Oc1ccccc1O,0.94,A5,n,
logP_setA,CCCCCCCCO,Oc1ccccc1O,0.86,A5,n,
logP_setA,CCCCCC,Cc1ccc(O)c(O)c1,-2.23,A6,n,
logP_setA,Cc1ccccc1,Cc1ccc(O)c(O)c1,-0.68,A6,n,
logP_setA,Clc1ccccc1,Cc1ccc(O)c(O)c1,-0.74,A6,n,
logP_setA,ClCCl,Cc1ccc(O)c(O)c1,-0.14,A6,n,
logP_setA,COC(C)(C)C,Cc1ccc(O)c(O)c1,1.49,A6,n,
logP_setA,CC(=O)OC(C)C,Cc1ccc(O)c(O)c1,1.52,A6,n,
logP_setA,OCc1ccccc1,Cc1ccc(O)c(O)c1,1.3,A6,n,
logP_setA,OC1CCCCC1,Cc1ccc(O)c(O)c1,1.49,A6,n,
logP_setA,CCCCO,Cc1ccc(O)c(O)c1,1.34,A6,n,
logP_setA,CCCCCCCCO,Cc1ccc(O)c(O)c1,1.35,A6,n,
logP_setA,CCCCCC,Oc1cccc(O)c1,-4.09,A7,n,
logP_setA,Cc1ccccc1,Oc1cccc(O)c1,-2.18,A7,n,
logP_setA,Clc1ccccc1,Oc1cccc(O)c1,-2.36,A7,n,
logP_setA,ClCCl,Oc1cccc(O)c1,-1.63,A7,n,
logP_setA,COC(C)(C)C,Oc1cccc(O)c1,0.84,A7,n,
logP_setA,CC(=O)OC(C)C,Oc1cccc(O)c1,0.95,A7,n,
logP_setA,OCc1ccccc1,Oc1cccc(O)c1,0.89,A7,n,
logP_setA,OC1CCCCC1,Oc1cccc(O)c1,1.28,A7,n,
logP_setA,CCCCO,Oc1cccc(O)c1,1,A7,n,
logP_setA,CCCCCCCCO,Oc1cccc(O)c1,0.84,A7,n,
logP_setA,CCCCCC,COc1cccc(OC)c1,2.1,A8,n,
logP_setA,Cc1ccccc1,COc1cccc(OC)c1,2.84,A8,n,
logP_setA,Clc1ccccc1,COc1cccc(OC)c1,2.96,A8,n,
logP_setA,ClCCl,COc1cccc(OC)c1,3.36,A8,n,
logP_setA,COC(C)(C)C,COc1cccc(OC)c1,2.48,A8,n,
logP_setA,CC(=O)OC(C)C,COc1cccc(OC)c1,2.72,A8,n,
logP_setA,OCc1ccccc1,COc1cccc(OC)c1,2.39,A8,n,
logP_setA,OC1CCCCC1,COc1cccc(OC)c1,2.04,A8,n,
logP_setA,CCCCO,COc1cccc(OC)c1,1.88,A8,n,
logP_setA,CCCCCCCCO,COc1cccc(OC)c1,2.16,A8,n,
logP_setA,CCCCCC,COc1ccccc1O,0.33,A9,n,
logP_setA,Cc1ccccc1,COc1ccccc1O,1.17,A9,n,
